surp_col,name,reread
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-fillerQ-P,fillQ-P,0
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-P,P,both
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-P-P,P-P,1
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-Q-P,Q-P,0
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-textFillP-P,textFillP-P,1
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-textFillQ-P,textFillQ-P,0
meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-fillerP-P,fillP-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-fillerQ-P,fillQ-P,0
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-P,P,both
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-P-P,P-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-Q-P,Q-P,0
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-textFillP-P,textFillP-P,1
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-textFillQ-P,textFillQ-P,0
mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-fillerP-P,fillP-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-fillerQ-P,fillQ-P,0
mistralai-Mistral-7B-v0.1-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
mistralai-Mistral-7B-v0.1-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
mistralai-Mistral-7B-v0.1-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-P,P,both
mistralai-Mistral-7B-v0.1-Surprisal-Context-P-P,P-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-Q-P,Q-P,0
mistralai-Mistral-7B-v0.1-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-textFillP-P,textFillP-P,1
mistralai-Mistral-7B-v0.1-Surprisal-Context-textFillQ-P,textFillQ-P,0
mistralai-Mistral-7B-v0.1-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-fillerP-P,fillP-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-fillerQ-P,fillQ-P,0
mistralai-Mistral-7B-v0.3-Surprisal-Context-fillerQfr-fillerP-fillerQ-P,fillQfr-fillP-fillQ-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-instFirstReadP-P,instFirstReadP-P,both
mistralai-Mistral-7B-v0.3-Surprisal-Context-instFirstReadP-P-instReReadP-P,instFirstReadP-P-instReReadP-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-instFirstReadP-Q-P,instFirstReadP-Q-P,0
mistralai-Mistral-7B-v0.3-Surprisal-Context-instFirstReadP-Qfr-P-instReReadP-Q-P,instFirstReadP-Qfr-P-instReReadP-Q-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-P,P,both
mistralai-Mistral-7B-v0.3-Surprisal-Context-P-P,P-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-Q-P,Q-P,0
mistralai-Mistral-7B-v0.3-Surprisal-Context-Qfr-P-Q-P,Qfr-P-Q-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-textFillP-P,textFillP-P,1
mistralai-Mistral-7B-v0.3-Surprisal-Context-textFillQ-P,textFillQ-P,0
mistralai-Mistral-7B-v0.3-Surprisal-Context-textFillQfr-textFillP-textFillQ-P,textFillQfr-textFillP-textFillQ-P,1
