"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","article_level","filter_type","filler_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","regime_plot"
"67",67,1.65823062308083e-07,0.148575651949438,"Hunting",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"68",68,0.000353625141041221,0.714849440161213,"Hunting",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"69",69,0.000144631118687956,0.137583619356871,"Hunting",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"70",70,9.15651679254682e-08,0.839057549793552,"Hunting",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"71",71,6.77713395214052e-06,0.0856873302037032,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"72",72,0.00040824595942579,0.00715703381857086,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"73",73,0,0.235701724643813,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"74",74,4.01724853585916e-05,0.236311772966554,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"75",75,1.10102546435065e-05,0.0202634337108758,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"76",76,4.09752379308959e-05,0.0282836633257118,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"77",77,1.42909545602365e-05,0.0688025915765256,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"78",78,0.000884517639626936,0.00066047120705448,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"79",79,5.95160612976153e-06,0.0483444339460504,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"80",80,0.000581450211985468,0.17486872219205,"Hunting",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"81",1,1.08112951390516e-18,0.0407992297080161,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"82",2,3.97554399508841e-13,0.425269322840396,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"83",3,1.95203899564978e-17,0.106369437673927,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"84",4,1.25742534424617e-16,0.43693077034095,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"85",5,5.24062325685244e-14,0.0274178327159864,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"86",6,1.09869876007139e-10,0.0666357475630834,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"87",7,3.10491571257579e-16,0.226359119074927,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"88",8,2.77814095307696e-14,0.467328574133822,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"89",9,5.31277114469564e-12,0.0324825716430655,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"90",10,7.40979977436653e-20,0.605384809360002,"Gathering",1,"linear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"91",11,0,0.0649611806371934,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"92",12,0,0.0647637874557974,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"93",13,0,0.00420695631025036,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"94",14,0,0.000961402731502248,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"95",15,0,0.00154773007110054,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"96",16,0,0.0506778006091539,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"97",17,0,0.219787426046685,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"98",18,0,0.227731719098196,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"99",19,0,0.00781083524856913,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"100",20,0,0.182185656611121,"Gathering",1,"nonlinear",TRUE,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
