,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,corrected_surp_p_val,corrected_prev_surp_p_val
116,117,17,0.0,0.142760845617072,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,1.0
117,118,18,0.0,0.0889684307057767,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.889684307057767
118,119,19,0.0,0.0310145467868714,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,0.310145467868714
119,120,20,0.0,0.104395116993839,Gathering,1,nonlinear,True,fillP-P,control_context,0.0,1.0
120,121,21,1.89363307672948e-118,6.89066269908553e-32,Hunting,0,linear,True,fillQ-P,control_context,1.89363307672948e-117,6.89066269908553e-31
121,122,22,1.8012540848919e-116,2.92870531626144e-23,Hunting,0,linear,True,fillQ-P,control_context,1.8012540848919002e-115,2.92870531626144e-22
122,123,23,2.0670802243255698e-114,1.6290465028756298e-28,Hunting,0,linear,True,fillQ-P,control_context,2.06708022432557e-113,1.62904650287563e-27
123,124,24,3.70984369354026e-97,8.77661264672375e-26,Hunting,0,linear,True,fillQ-P,control_context,3.70984369354026e-96,8.77661264672375e-25
124,125,25,2.37623973413989e-120,1.9218791049328702e-25,Hunting,0,linear,True,fillQ-P,control_context,2.37623973413989e-119,1.9218791049328703e-24
125,126,26,2.5918523887795803e-117,3.31526736906863e-28,Hunting,0,linear,True,fillQ-P,control_context,2.5918523887795805e-116,3.31526736906863e-27
126,127,27,3.67915011012707e-122,1.7057342814637798e-26,Hunting,0,linear,True,fillQ-P,control_context,3.67915011012707e-121,1.7057342814637798e-25
127,128,28,2.16359144923568e-105,2.6280325697325296e-30,Hunting,0,linear,True,fillQ-P,control_context,2.16359144923568e-104,2.6280325697325294e-29
128,129,29,4.47052402346424e-123,1.1362737718787001e-26,Hunting,0,linear,True,fillQ-P,control_context,4.4705240234642397e-122,1.1362737718787001e-25
129,130,30,2.10386237920033e-100,2.97598571079949e-23,Hunting,0,linear,True,fillQ-P,control_context,2.1038623792003297e-99,2.9759857107994905e-22
130,131,31,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
131,132,32,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
132,133,33,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
133,134,34,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
134,135,35,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
135,136,36,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
136,137,37,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
137,138,38,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
138,139,39,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
139,140,40,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,control_context,0.0,0.0
140,141,21,6.59012138552263e-06,0.535980051064916,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,6.59012138552263e-05,1.0
141,142,22,1.61068818022183e-06,0.649117707674177,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,1.6106881802218302e-05,1.0
142,143,23,1.1148703278842e-05,0.885781118017427,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,0.00011148703278842,1.0
143,144,24,2.04675751021559e-07,0.738576866992188,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,2.04675751021559e-06,1.0
144,145,25,1.32881125871305e-05,0.0795859247856692,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,0.000132881125871305,0.7958592478566919
145,146,26,3.3379986858713903e-10,0.190286257696383,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,3.33799868587139e-09,1.0
146,147,27,3.16145264007404e-06,0.333045836476434,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,3.16145264007404e-05,1.0
147,148,28,7.20092042851773e-06,0.252460301985865,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,7.20092042851773e-05,1.0
148,149,29,0.0022014019326653,0.761560080070988,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,0.022014019326653,1.0
149,150,30,4.64147804155665e-08,0.047205727455397,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,control_context,4.64147804155665e-07,0.47205727455397
150,151,31,0.0001692550428048,0.117813287684143,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,0.001692550428048,1.0
151,152,32,0.0002395739962491,0.226736553082475,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,0.002395739962491,1.0
152,153,33,1.82519685349436e-05,0.178157216303768,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,0.000182519685349436,1.0
153,154,34,0.0001715528770747,0.384364284733061,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,0.001715528770747,1.0
154,155,35,3.45547148039027e-05,0.274658976140161,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,0.00034554714803902703,1.0
155,156,36,1.62046730730059e-05,0.483478880274802,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,0.00016204673073005898,1.0
