"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","context_type"
"98",38,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"99",39,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"100",40,0,0,"Hunting",0,"nonlinear",TRUE,"Q-P","regime_context"
"101",1,1.65677264279823e-21,0.425013864127719,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"102",2,3.12431944391483e-20,0.0441249601841752,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"103",3,1.31222564699559e-20,0.0655433881659185,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"104",4,3.93392721151261e-15,0.162418182508702,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"105",5,3.88099696724737e-20,0.685763396647433,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"106",6,9.5596433240018e-24,0.0891352870368661,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"107",7,5.40110108263733e-17,0.136685553878468,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"108",8,2.44924498742303e-13,0.0800847695062989,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"109",9,1.05724779202676e-19,0.0167099539092415,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"110",10,1.55936519090241e-17,0.0119146697421631,"Gathering",1,"linear",TRUE,"fillP-P","control_context"
"111",11,0,0.00565979339029998,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"112",12,0,0.0485521227978299,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"113",13,0,0.000870436146019615,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"114",14,0,0.0544611862250237,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"115",15,0,0.0154042665972008,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"116",16,0,0.0098851767799607,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"117",17,0,0.142760845617072,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
