"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"17","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","linear",0.0030308567255178,0.00338997399819248,0.000359117272674681,-4.86047476415115,-5.55473119998078,-0.694256435829629
"18","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","nonlinear",0.00363197616349861,0.00399991506622056,0.000367938902721951,-5.88955555288703,-6.58330845654291,-0.693752903655877
"19","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","linear",0.00821342052079765,0.00605023567953736,-0.0021631848412603,-22.0295478036314,-15.9539882410627,6.07555956256874
"20","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","nonlinear",0.00889123813175063,0.00765826523350871,-0.00123297289824192,-23.8511281840183,-20.3358411330846,3.51528705093369
"21","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.0099115871003404,0.0110327060440417,0.00112111894370129,-31.9149740500779,-35.6708971439148,-3.75592309383683
"22","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.0106840908823964,0.0118228526736215,0.00113876179122505,-34.4758134031053,-38.3108139626402,-3.83500055953482
"23","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",0.00821342052079765,0.00121228697644664,-0.00700113354435102,-22.0295478036314,-2.62911113416521,19.4004366694662
"24","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00889123813175063,0.00245634861336406,-0.00643488951838657,-23.8511281840183,-4.98265450276267,18.8684736812556
"25","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.0030308567255178,-0.000663971370328933,-0.00369482809584673,-4.86047476415115,1.16904787162912,6.02952263578027
"26","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",0.00363197616349861,0.00126209697479482,-0.00236987918870379,-5.88955555288703,-1.82970610858411,4.05984944430293
"27","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.0111237572751437,0.0110327060440417,-9.10512311020073e-05,-36.0964582577799,-35.6708971439148,0.425561113865115
"28","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.0118574540174864,0.0118228526736215,-3.46013438648762e-05,-38.5493292860647,-38.3108139626402,0.238515323424508
"29","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",-0.000506339922012627,0.00121228697644664,0.00171862689845927,1.67543300869693,-2.62911113416521,-4.30454414286214
"30","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00274793043149807,0.00245634861336406,-0.000291581818134004,-6.70378337130387,-4.98265450276267,1.7211288685412
"31","Hunting",1,"Qfr-P-Q-P","regime_comtext","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.000222729018124174,-0.000663971370328933,-0.000886700388453107,-0.237488707997727,1.16904787162912,1.40653657962685
