"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"20","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","nonlinear",0.00665202045705957,0.00630640971825014,-0.000345610738809426,-17.9079200376873,-17.0078959453931,0.900024092294188
"21","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.00714896364534845,0.00834368484794631,0.00119472120259786,-23.5247971342706,-27.4568760901129,-3.93207895584237
"22","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.00798010751120282,0.00920575352061623,0.00122564600941341,-26.3170967756632,-30.3620333491581,-4.04493657349485
"23","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",0.00556595060159754,0.00131567504902882,-0.00425027555256871,-15.0133153947645,-3.27656800365548,11.736747391109
"24","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00665202045705957,0.003653815634829,-0.00299820482223057,-17.9079200376873,-9.12591128608256,8.78200875160474
"25","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.00228581627906009,-0.000277059291631632,-0.00256287557069172,-3.70737414063933,0.572199271973659,4.27957341261299
"26","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",0.00279118441469822,-0.000315384149180198,-0.00310656856387842,-4.39540098765974,0.820962432721899,5.21636342038164
"27","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.00795856380688101,0.00834368484794631,0.000385121041065306,-26.1972224581459,-27.4568760901129,-1.25965363196701
"28","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.00897885909118001,0.00920575352061623,0.000226894429436214,-29.6340651400642,-30.3620333491581,-0.727968209093888
"29","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",-0.000225601620077481,0.00131567504902882,0.00154127666910631,0.853811899289212,-3.27656800365548,-4.1303799029447
"30","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00208242669657052,0.003653815634829,0.00157138893825848,-5.10092728592645,-9.12591128608256,-4.02498400015611
"31","Hunting",1,"Qfr-P-Q-P","regime_comtext","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",-0.000633772715479555,-0.000277059291631632,0.000356713423847924,1.1600615330899,0.572199271973659,-0.587862261116243
"32","Hunting",1,"Qfr-P-Q-P","regime_comtext","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",-0.000809137737365503,-0.000315384149180198,0.000493753588185306,1.97159644759449,0.820962432721899,-1.15063401487259
