,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,filler_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,regime_plot,corrected_surp_p_val,corrected_prev_surp_p_val
97,98,18,0.0,4.8835863984853e-05,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.00048835863984853
98,99,19,0.0,0.0009533142662082,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.009533142662082
99,100,20,0.0,3.96174907902336e-05,Gathering,1,nonlinear,True,fillP-P,dots_control_context,1,1,0,1,0,0.0,0.000396174907902336
100,101,21,7.403035009502911e-112,7.39490124084537e-19,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,7.403035009502911e-111,7.39490124084537e-18
101,102,22,2.9885230268519702e-120,1.2321560235295e-17,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,2.98852302685197e-119,1.2321560235295e-16
102,103,23,2.97191984677495e-106,1.1493295672784799e-18,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,2.97191984677495e-105,1.1493295672784799e-17
103,104,24,4.31282595977243e-118,1.67958966283155e-29,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,4.31282595977243e-117,1.67958966283155e-28
104,105,25,1.93713744021904e-102,1.34676652525299e-16,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,1.9371374402190402e-101,1.34676652525299e-15
105,106,26,1.8623190186976002e-106,1.9499000642522002e-20,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,1.8623190186976e-105,1.9499000642522002e-19
106,107,27,5.41024970911639e-104,4.09011917609765e-17,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,5.41024970911639e-103,4.0901191760976503e-16
107,108,28,1.36885180685021e-105,2.26985475136934e-26,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,1.3688518068502101e-104,2.2698547513693397e-25
108,109,29,4.89185391690605e-113,6.070525839006191e-17,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,4.89185391690605e-112,6.070525839006191e-16
109,110,30,5.66943044360945e-104,3.52399884204169e-19,Hunting,0,linear,True,fillQ-P,dots_control_context,1,1,0,1,0,5.66943044360945e-103,3.52399884204169e-18
110,111,31,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
111,112,32,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
112,113,33,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
113,114,34,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
114,115,35,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
115,116,36,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
116,117,37,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
117,118,38,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
118,119,39,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
119,120,40,0.0,0.0,Hunting,0,nonlinear,True,fillQ-P,dots_control_context,1,1,0,1,0,0.0,0.0
120,121,21,3.11332704566614e-07,0.440738103511011,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,3.11332704566614e-06,1.0
121,122,22,2.33610793077661e-05,0.4592787162829,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.00023361079307766098,1.0
122,123,23,2.40885333052797e-07,0.908139040126536,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,2.40885333052797e-06,1.0
123,124,24,0.0002788191471558,0.156830301299124,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.002788191471558,1.0
124,125,25,2.05987269777916e-06,0.340683788847428,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,2.05987269777916e-05,1.0
125,126,26,9.36530073446338e-08,0.254077769728962,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,9.365300734463381e-07,1.0
126,127,27,1.03223190619497e-08,0.919451159985032,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,1.03223190619497e-07,1.0
127,128,28,6.41306313163894e-06,0.434093372404233,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,6.41306313163894e-05,1.0
128,129,29,6.85825126542293e-05,0.427682519427015,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.0006858251265422931,1.0
129,130,30,2.29188730169748e-07,0.345177867680365,Hunting,1,linear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,2.29188730169748e-06,1.0
130,131,31,4.53132121345234e-05,0.0042099182414516,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.00045313212134523396,0.042099182414516004
131,132,32,0.0001308018255588,0.0195201473878409,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.001308018255588,0.195201473878409
132,133,33,0.001601890597337,0.279107422311049,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.016018905973370003,1.0
133,134,34,0.0011666888935064,0.287841947422865,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.011666888935064,1.0
134,135,35,0.0,0.139373362412087,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.0,1.0
135,136,36,0.000102166731183,0.226525651025786,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.00102166731183,1.0
136,137,37,5.56226836212481e-06,0.0425800143643273,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,5.56226836212481e-05,0.42580014364327295
137,138,38,5.38505918690202e-06,0.0224722072265956,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,5.38505918690202e-05,0.224722072265956
138,139,39,2.4191227340209e-06,0.235652682379889,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,2.4191227340209e-05,1.0
139,140,40,0.0,0.237921866877493,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,dots_control_context,1,1,0,1,0,0.0,1.0
140,141,1,4.64638962842758e-22,0.193088746386628,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,4.64638962842758e-21,1.0
141,142,2,5.01467081711406e-15,0.008116322170426,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,5.01467081711406e-14,0.08116322170426
142,143,3,6.4269063973639595e-22,0.0068492361282166,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,6.4269063973639595e-21,0.068492361282166
143,144,4,1.16021934635597e-18,0.0003110905035707,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,1.1602193463559699e-17,0.0031109050357069996
144,145,5,8.93084358847454e-13,0.0235280163391794,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,8.93084358847454e-12,0.23528016339179397
145,146,6,1.0852579738951e-15,0.0337340334759482,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,1.0852579738951001e-14,0.337340334759482
146,147,7,3.50622591635065e-13,0.0003607315073992,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,3.50622591635065e-12,0.003607315073992
147,148,8,1.46931213609643e-13,0.001910399058114,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,1.46931213609643e-12,0.019103990581140002
148,149,9,2.55379211557833e-19,0.0130153323285982,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,2.5537921155783303e-18,0.130153323285982
149,150,10,4.60430339201603e-16,0.00045265048292,Gathering,1,linear,True,textFillP-P,text_control_context,1,1,0,1,0,4.604303392016029e-15,0.0045265048292
150,151,11,0.0,6.84460191879843e-05,Gathering,1,nonlinear,True,textFillP-P,text_control_context,1,1,0,1,0,0.0,0.0006844601918798431
