,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
51,52,52,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
52,53,53,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
53,54,54,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
54,55,55,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
55,56,56,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
56,57,57,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
57,58,58,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
58,59,59,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
59,60,60,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
60,61,61,0.0006618156220451,0.181580147119947,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.0066181562204509995,1.0
61,62,62,0.0024642664083047,0.629975469663252,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.024642664083047,1.0
62,63,63,7.99031893209847e-05,0.175519501872451,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.000799031893209847,1.0
63,64,64,8.39873443525798e-06,0.24561528687563,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,8.39873443525798e-05,1.0
64,65,65,0.0003614700300033,0.185136716351826,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.003614700300033,1.0
65,66,66,0.0006539624650835,0.521065278501498,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.0065396246508350004,1.0
66,67,67,0.0006741380951681,0.685692529317653,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.006741380951681,1.0
67,68,68,2.20431016386741e-08,0.0224143299275483,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,2.2043101638674098e-07,0.224143299275483
68,69,69,7.47828791476871e-07,0.506712567399501,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,7.4782879147687095e-06,1.0
69,70,70,0.0509515640452222,0.298806671008224,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.509515640452222,1.0
70,71,71,0.0086281906821913,0.062200710121357,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.086281906821913,0.62200710121357
71,72,72,0.0,0.0458940795819165,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.45894079581916497
72,73,73,4.3331108952438e-05,0.0014260753950716,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.00043331108952438,0.014260753950716
73,74,74,0.0020882907420673,0.0293309044836705,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.020882907420673,0.293309044836705
74,75,75,0.0060406970047302,0.0271058211512925,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.060406970047302,0.27105821151292503
75,76,76,5.00790703664711e-05,0.0174718982416188,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.000500790703664711,0.174718982416188
76,77,77,0.0001164074286207,0.0021593928454674,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.001164074286207,0.021593928454674
77,78,78,0.0002599377266311,0.0054676513915322,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0025993772663109997,0.054676513915322
78,79,79,3.88347824553659e-06,0.0282224583086805,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,3.88347824553659e-05,0.282224583086805
79,80,80,0.0002274336463931,0.0033420624642898,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.002274336463931,0.033420624642898
80,81,21,2.2337315224143402e-98,4.61348434080541e-29,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,2.2337315224143402e-97,4.61348434080541e-28
81,82,22,5.1548190067757897e-101,9.10428705368443e-29,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,5.154819006775789e-100,9.10428705368443e-28
82,83,23,7.48741417424447e-95,8.28113472445825e-33,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,7.48741417424447e-94,8.28113472445825e-32
83,84,24,2.03678017231695e-114,9.527935589852291e-24,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,2.0367801723169497e-113,9.527935589852291e-23
84,85,25,9.67910048895322e-106,6.34535832325625e-27,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,9.679100488953221e-105,6.34535832325625e-26
85,86,26,1.01432730412205e-101,3.38934243190898e-25,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,1.01432730412205e-100,3.38934243190898e-24
86,87,27,2.34844655320388e-118,3.98677213659212e-29,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,2.34844655320388e-117,3.98677213659212e-28
87,88,28,2.43773752143813e-99,5.76250902933699e-25,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,2.43773752143813e-98,5.76250902933699e-24
88,89,29,4.938466326114739e-83,1.2883527652263201e-25,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,4.9384663261147394e-82,1.2883527652263202e-24
89,90,30,1.0943011817748999e-108,1.00857752372902e-28,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,1.0943011817748999e-107,1.00857752372902e-27
90,91,31,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
91,92,32,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
92,93,33,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
93,94,34,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
94,95,35,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
95,96,36,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
96,97,37,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
97,98,38,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
98,99,39,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
99,100,40,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
100,101,1,2.1522050401464e-122,7.04462482970875e-18,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,2.1522050401464e-121,7.044624829708749e-17
101,102,2,2.67924921870072e-128,2.92688609755583e-16,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,2.67924921870072e-127,2.92688609755583e-15
102,103,3,1.40406866679177e-136,3.46022255997876e-22,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,1.4040686667917702e-135,3.46022255997876e-21
103,104,4,2.20815496396745e-136,3.32787726504473e-17,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,2.2081549639674502e-135,3.32787726504473e-16
104,105,5,4.4112467940233806e-132,3.57232884786404e-19,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,4.4112467940233804e-131,3.57232884786404e-18
105,106,6,9.10868552805283e-122,6.35655108932874e-24,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,9.10868552805283e-121,6.356551089328741e-23
106,107,7,3.78325714627021e-115,3.2566715547973397e-16,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,3.78325714627021e-114,3.25667155479734e-15
107,108,8,6.80309329267953e-124,1.54377802711924e-25,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,6.80309329267953e-123,1.5437780271192401e-24
108,109,9,6.845921381366229e-135,3.10071085672177e-18,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,6.845921381366229e-134,3.10071085672177e-17
109,110,10,3.46996406613329e-138,4.85689328036325e-18,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,3.46996406613329e-137,4.85689328036325e-17
110,111,11,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
111,112,12,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
112,113,13,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
113,114,14,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
114,115,15,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
115,116,16,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
116,117,17,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
117,118,18,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
118,119,19,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
119,120,20,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
120,121,21,1.16899126908954e-109,1.14021416313463e-17,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,1.1689912690895401e-108,1.14021416313463e-16
