"","x","y","has_preview_condition","reread_consecutive_condition"
"73",0.786186786736221,0.094589901186708,"Gathering",11
"74",0.796957007112984,0.0949543308725115,"Gathering",11
"75",0.807727227489746,0.095314545583468,"Gathering",11
"76",0.818497447866509,0.0956705551728846,"Gathering",11
"77",0.829267668243272,0.0960223633175282,"Gathering",11
"78",0.840037888620034,0.0963693682615278,"Gathering",11
"79",0.850808108996797,0.0967120805731841,"Gathering",11
"80",0.861578329373559,0.0970505609144135,"Gathering",11
"81",0.872348549750322,0.0973847899676561,"Gathering",11
"82",0.883118770127085,0.0977147448011359,"Gathering",11
"83",0.893888990503847,0.0980403992758275,"Gathering",11
"84",0.90465921088061,0.0983617244468699,"Gathering",11
"85",0.915429431257373,0.0986786889583692,"Gathering",11
"86",0.926199651634135,0.0989907980696777,"Gathering",11
"87",0.936969872010898,0.099298216209328,"Gathering",11
"88",0.947740092387661,0.0996011546413053,"Gathering",11
"89",0.958510312764423,0.0998995761074075,"Gathering",11
"90",0.969280533141186,0.100193443141945,"Gathering",11
"91",0.980050753517948,0.100482718373909,"Gathering",11
"92",0.990820973894711,0.100767364815034,"Gathering",11
"93",1.00159119427147,0.101047346133528,"Gathering",11
"94",1.01236141464824,0.101322315868807,"Gathering",11
"95",1.023131635025,0.101592093022397,"Gathering",11
"96",1.03390185540176,0.101857091371704,"Gathering",11
"97",1.04467207577852,0.102117281101727,"Gathering",11
"98",1.05544229615529,0.102372634388813,"Gathering",11
"99",1.06621251653205,0.102623125556673,"Gathering",11
"100",1.07698273690881,0.102868731219403,"Gathering",11
"101",1.08775295728557,0.103109430411894,"Gathering",11
"102",1.09852317766234,0.103345069988336,"Gathering",11
"103",1.1092933980391,0.103575108720125,"Gathering",11
"104",1.12006361841586,0.103800190795263,"Gathering",11
"105",1.13083383879263,0.104020308096098,"Gathering",11
"106",1.14160405916939,0.104235455462364,"Gathering",11
"107",1.15237427954615,0.104445630740186,"Gathering",11
"108",1.16314449992291,0.10465083482432,"Gathering",11
"109",1.17391472029968,0.104851071694176,"Gathering",11
"110",1.18468494067644,0.10504634844413,"Gathering",11
"111",1.1954551610532,0.10523593976064,"Gathering",11
"112",1.20622538142996,0.105420546947803,"Gathering",11
"113",1.21699560180673,0.10560024359844,"Gathering",11
"114",1.22776582218349,0.105775051746473,"Gathering",11
"115",1.23853604256025,0.105944996631587,"Gathering",11
"116",1.24930626293701,0.106110106705178,"Gathering",11
"117",1.26007648331378,0.106270413635424,"Gathering",11
"118",1.27084670369054,0.106425952311685,"Gathering",11
"119",1.2816169240673,0.106576242578032,"Gathering",11
"120",1.29238714444407,0.106721628273705,"Gathering",11
"121",1.30315736482083,0.106862389611871,"Gathering",11
"122",1.31392758519759,0.106998576706134,"Gathering",11
"123",1.32469780557435,0.107130242917732,"Gathering",11
"124",1.33546802595112,0.107257444860345,"Gathering",11
"125",1.34623824632788,0.107380242404831,"Gathering",11
"126",1.35700846670464,0.107498698683734,"Gathering",11
"127",1.3677786870814,0.107612576436251,"Gathering",11
"128",1.37854890745817,0.10772190271619,"Gathering",11
"129",1.38931912783493,0.107827127194536,"Gathering",11
"130",1.40008934821169,0.107928328393189,"Gathering",11
"131",1.41085956858845,0.108025588096553,"Gathering",11
"132",1.42162978896522,0.108118991342514,"Gathering",11
"133",1.43240000934198,0.108208626409885,"Gathering",11
"134",1.44317022971874,0.108294584801913,"Gathering",11
"135",1.4539404500955,0.108376842720292,"Gathering",11
"136",1.46471067047227,0.108455204217647,"Gathering",11
"137",1.47548089084903,0.108530223438038,"Gathering",11
"138",1.48625111122579,0.108602006632402,"Gathering",11
"139",1.49702133160256,0.108670663037297,"Gathering",11
"140",1.50779155197932,0.108736304808132,"Gathering",11
"141",1.51856177235608,0.108799046944216,"Gathering",11
"142",1.52933199273284,0.108859007205323,"Gathering",11
"143",1.54010221310961,0.108916306019487,"Gathering",11
"144",1.55087243348637,0.108970697064519,"Gathering",11
"145",1.56164265386313,0.109022714168938,"Gathering",11
"146",1.57241287423989,0.109072496788863,"Gathering",11
"147",1.58318309461666,0.109120176138875,"Gathering",11
"148",1.59395331499342,0.109165885276224,"Gathering",11
"149",1.60472353537018,0.109209758927883,"Gathering",11
"150",1.61549375574694,0.109251933307532,"Gathering",11
"151",1.62626397612371,0.109292545922534,"Gathering",11
"152",1.63703419650047,0.109331589520084,"Gathering",11
"153",1.64780441687723,0.109369343420064,"Gathering",11
"154",1.658574637254,0.109406007369901,"Gathering",11
"155",1.66934485763076,0.109441721719442,"Gathering",11
"156",1.68011507800752,0.109476626668875,"Gathering",11
"157",1.69088529838428,0.109510862004334,"Gathering",11
"158",1.70165551876105,0.109544566826984,"Gathering",11
"159",1.71242573913781,0.109577879276084,"Gathering",11
