,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,critical_span_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
43,44,6.01987816586492e-29,2.69500962641315e-13,True,1,0,linear,True,6.01987816586492e-28,2.69500962641315e-12
44,45,8.612646464816581e-38,2.47578549662553e-11,True,1,0,linear,True,8.61264646481658e-37,2.47578549662553e-10
45,46,3.4086546499006996e-31,1.87895620198737e-07,True,1,0,linear,True,3.4086546499006996e-30,1.8789562019873702e-06
46,47,1.1431081940049399e-28,5.08873860575412e-08,True,1,0,linear,True,1.14310819400494e-27,5.08873860575412e-07
47,48,4.03874383452388e-32,9.5202691410446e-09,True,1,0,linear,True,4.03874383452388e-31,9.520269141044599e-08
48,49,9.278307908162411e-31,1.06376746400031e-08,True,1,0,linear,True,9.278307908162411e-30,1.0637674640003101e-07
49,50,2.62540295622075e-38,1.73616364526956e-13,True,1,0,linear,True,2.62540295622075e-37,1.7361636452695599e-12
50,51,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
51,52,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
52,53,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
53,54,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
54,55,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
55,56,0.0,7.60507871788718e-07,True,1,0,nonlinear,True,0.0,7.605078717887181e-06
56,57,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
57,58,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
58,59,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
59,60,0.0,0.0,True,1,0,nonlinear,True,0.0,0.0
60,61,0.021431753666088,0.52964756539509,True,1,1,linear,True,0.21431753666088,1.0
61,62,0.0606635885648633,0.180039808760219,True,1,1,linear,True,0.606635885648633,1.0
62,63,7.11210144366847e-06,0.686299740932776,True,1,1,linear,True,7.11210144366847e-05,1.0
63,64,1.97928935791015e-05,0.631232280169231,True,1,1,linear,True,0.000197928935791015,1.0
64,65,1.46131865235626e-05,0.212373128223716,True,1,1,linear,True,0.000146131865235626,1.0
65,66,0.0007523859887631,0.205094197532825,True,1,1,linear,True,0.007523859887631,1.0
66,67,0.0523127652273794,0.817577772109916,True,1,1,linear,True,0.523127652273794,1.0
67,68,8.94520814141557e-05,0.722759423217254,True,1,1,linear,True,0.000894520814141557,1.0
68,69,6.73720284617609e-06,0.521138103351689,True,1,1,linear,True,6.73720284617609e-05,1.0
69,70,0.0001473649047068,0.346057908637732,True,1,1,linear,True,0.001473649047068,1.0
70,71,0.0026475075995157,0.545740675831516,True,1,1,nonlinear,True,0.026475075995157,1.0
71,72,0.0010276746477168,0.430652487213733,True,1,1,nonlinear,True,0.010276746477168,1.0
72,73,0.003597347843114,0.314997548154877,True,1,1,nonlinear,True,0.03597347843114,1.0
73,74,1.15264342506749e-05,0.275685265735636,True,1,1,nonlinear,True,0.000115264342506749,1.0
74,75,0.0151407639313025,0.0828715901139432,True,1,1,nonlinear,True,0.151407639313025,0.8287159011394319
75,76,0.0254346422532225,0.177698426558057,True,1,1,nonlinear,True,0.254346422532225,1.0
76,77,0.0002108892586869,0.0075114568268964,True,1,1,nonlinear,True,0.002108892586869,0.075114568268964
77,78,0.0037301765103959,0.298073062813503,True,1,1,nonlinear,True,0.037301765103959,1.0
78,79,3.86603500734939e-05,0.046524806152962,True,1,1,nonlinear,True,0.000386603500734939,0.46524806152962
79,80,0.0122303098338337,0.0002097318793863,True,1,1,nonlinear,True,0.122303098338337,0.002097318793863
