"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"22","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.0100719914152101,0.0110799407447356,0.0010079493295255,-33.00916124984,-36.5447145799299,-3.5355533300899
"23","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",0.00747305402593645,0.00031820548145528,-0.00715484854448117,-19.8472155627824,-0.713227923159138,19.1339876396232
"24","Gathering",1,"P","standard_context","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.00875793840115527,0.00342075699791439,-0.00533718140324088,-23.5342082496227,-8.05196632263323,15.4822419269894
"25","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.00309289644496809,-0.000517520098782615,-0.0036104165437507,-5.0262059402603,0.941565350369274,5.96777129062957
"26","Hunting",1,"P","standard_context","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",0.00407980733034237,-0.000525676738468303,-0.00460548406881067,-6.68264539676966,1.10845712790251,7.79110252467217
"27","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.0104387081901675,0.0102600691433962,-0.000178639046771317,-34.2932067366255,-33.7701883279242,0.523018408701319
"28","Hunting",0,"Q-P","regime_comtext","instFirstReadP-Q-P","prompt_regime_comtext","nonlinear",0.0112380763407055,0.0110799407447356,-0.000158135595969888,-36.9998983844871,-36.5447145799299,0.455183804557237
"29","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","linear",-0.000279089107641628,0.00031820548145528,0.000597294589096908,1.01772871774301,-0.713227923159138,-1.73095664090215
"30","Gathering",1,"P-P","regime_comtext","instFirstReadP-P-instReReadP-P","prompt_regime_comtext","nonlinear",0.0032159470299277,0.00342075699791439,0.000204809967986691,-8.11569854265326,-8.05196632263323,0.0637322200200288
"31","Hunting",1,"Qfr-P-Q-P","regime_comtext","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","linear",0.000567625922983678,-0.000517520098782615,-0.00108514602176629,-0.764901276666933,0.941565350369274,1.70646662703621
"32","Hunting",1,"Qfr-P-Q-P","regime_comtext","instFirstReadP-Qfr-P-instReReadP-Q-P","prompt_regime_comtext","nonlinear",0.000282697195186157,-0.000525676738468303,-0.00080837393365446,-0.131943449691789,1.10845712790251,1.2404005775943
