"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","article_level","filter_type","regime_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","filler_plot"
"108",8,4.17501068243029e-172,2.21526931275916e-22,"Gathering",0,"linear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"109",9,2.54557554667239e-154,1.96251461908381e-19,"Gathering",0,"linear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"110",10,1.06420608132681e-157,1.06736275350601e-26,"Gathering",0,"linear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"111",11,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"112",12,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"113",13,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"114",14,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"115",15,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"116",16,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"117",17,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"118",18,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"119",19,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"120",20,0,0,"Gathering",0,"nonlinear",TRUE,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"121",21,1.35766263307068e-104,7.09869444249645e-31,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"122",22,6.32520289316304e-114,8.61413728858482e-29,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"123",23,2.13785804036618e-105,4.81535871854394e-31,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"124",24,3.27704678992688e-123,8.34902928481946e-23,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"125",25,2.27181414780782e-101,4.17839168977957e-37,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"126",26,1.87454818691415e-107,2.17785584120268e-39,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"127",27,1.14207879784736e-112,4.9020323956424e-25,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"128",28,4.36196576115543e-136,2.78611603792672e-31,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"129",29,1.30943086352632e-124,5.98210931727116e-36,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"130",30,1.84620618971928e-110,5.41865302950667e-33,"Hunting",0,"linear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"131",31,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"132",32,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"133",33,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"134",34,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"135",35,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"136",36,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"137",37,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"138",38,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"139",39,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"140",40,0,0,"Hunting",0,"nonlinear",TRUE,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
