,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,has_preview_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
28,29,1.10628286299438e-18,0.145776242861076,True,Gathering,1,linear,True,1.1062828629943798e-17,1.0
29,30,1.52977466490738e-20,0.0360346301000222,True,Gathering,1,linear,True,1.52977466490738e-19,0.36034630100022197
30,31,0.0,0.190936135504903,True,Gathering,1,nonlinear,True,0.0,1.0
31,32,0.0,6.49946391345635e-06,True,Gathering,1,nonlinear,True,0.0,6.49946391345635e-05
32,33,0.0,0.0565672606242052,True,Gathering,1,nonlinear,True,0.0,0.5656726062420521
33,34,0.0,0.0079965242250961,True,Gathering,1,nonlinear,True,0.0,0.079965242250961
34,35,0.0,0.0050789538316873,True,Gathering,1,nonlinear,True,0.0,0.050789538316873
35,36,0.0,0.0073754685884971,True,Gathering,1,nonlinear,True,0.0,0.073754685884971
36,37,0.0,0.0020289596508653,True,Gathering,1,nonlinear,True,0.0,0.020289596508652998
37,38,0.0,0.0086907272003771,True,Gathering,1,nonlinear,True,0.0,0.086907272003771
38,39,0.0,3.63707097511545e-06,True,Gathering,1,nonlinear,True,0.0,3.63707097511545e-05
39,40,0.0,0.0018019188923474,True,Gathering,1,nonlinear,True,0.0,0.018019188923474
40,41,1.85566699157353e-116,4.9717031228537294e-34,True,Hunting,0,linear,True,1.85566699157353e-115,4.9717031228537296e-33
41,42,5.34719276845285e-101,9.65091467547385e-38,True,Hunting,0,linear,True,5.34719276845285e-100,9.65091467547385e-37
42,43,1.66485571351837e-106,5.873333013680449e-30,True,Hunting,0,linear,True,1.6648557135183701e-105,5.873333013680449e-29
43,44,1.37393610295604e-115,3.3854579172506102e-25,True,Hunting,0,linear,True,1.37393610295604e-114,3.38545791725061e-24
44,45,1.98046012629378e-121,1.71197901848269e-33,True,Hunting,0,linear,True,1.98046012629378e-120,1.71197901848269e-32
45,46,4.71533802696865e-117,4.6854520851023496e-33,True,Hunting,0,linear,True,4.71533802696865e-116,4.6854520851023494e-32
46,47,9.29870733918335e-112,1.1435256347217001e-36,True,Hunting,0,linear,True,9.298707339183351e-111,1.1435256347217002e-35
47,48,1.4569853678758999e-108,9.561179948744139e-33,True,Hunting,0,linear,True,1.4569853678759e-107,9.56117994874414e-32
48,49,5.9021438924628505e-111,4.30388913903786e-33,True,Hunting,0,linear,True,5.90214389246285e-110,4.3038891390378594e-32
49,50,3.29382650836613e-95,5.545518365829e-34,True,Hunting,0,linear,True,3.29382650836613e-94,5.5455183658289996e-33
50,51,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
51,52,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
52,53,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
53,54,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
54,55,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
55,56,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
56,57,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
57,58,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
58,59,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
59,60,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
60,61,1.0847583457648e-05,0.365127517094948,True,Hunting,1,linear,True,0.00010847583457648,1.0
61,62,1.89733811550574e-07,0.066333235638167,True,Hunting,1,linear,True,1.89733811550574e-06,0.66333235638167
62,63,8.36812797687321e-05,0.90654192927271,True,Hunting,1,linear,True,0.000836812797687321,1.0
63,64,5.01546126538923e-07,0.423120162018118,True,Hunting,1,linear,True,5.01546126538923e-06,1.0
64,65,3.11476743132256e-07,0.810758901221306,True,Hunting,1,linear,True,3.1147674313225602e-06,1.0
