"","X","has_preview_condition","reread_condition","linear","p_val","surp_column","model_id","model_family","model_size","model_size_milions","model_name_with_size","ppl"
"42",2,"Gathering",1,"nonlinear",0.66,"EleutherAI-pythia-70m-Surprisal-Context-P","EleutherAI-pythia-70m","Pythia","70M",70,"70M Pythia",48.9940147399902
"43",3,"Hunting",0,"nonlinear",0.032,"EleutherAI-pythia-70m-Surprisal-Context-P","EleutherAI-pythia-70m","Pythia","70M",70,"70M Pythia",48.9940147399902
"44",4,"Hunting",1,"nonlinear",0.848,"EleutherAI-pythia-70m-Surprisal-Context-P","EleutherAI-pythia-70m","Pythia","70M",70,"70M Pythia",48.9940147399902
"61",1,"Gathering",0,"nonlinear",0.021,"facebook-opt-1.3b-Surprisal-Context-P","facebook-opt-1.3b","OPT","1.3B",1300,"1.3B OPT",18.316535949707
"62",2,"Gathering",1,"nonlinear",0.455,"facebook-opt-1.3b-Surprisal-Context-P","facebook-opt-1.3b","OPT","1.3B",1300,"1.3B OPT",18.316535949707
"63",3,"Hunting",0,"nonlinear",0.005,"facebook-opt-1.3b-Surprisal-Context-P","facebook-opt-1.3b","OPT","1.3B",1300,"1.3B OPT",18.316535949707
"64",4,"Hunting",1,"nonlinear",0.076,"facebook-opt-1.3b-Surprisal-Context-P","facebook-opt-1.3b","OPT","1.3B",1300,"1.3B OPT",18.316535949707
"65",1,"Gathering",0,"nonlinear",0.009,"facebook-opt-2.7b-Surprisal-Context-P","facebook-opt-2.7b","OPT","2.7B",2700,"2.7B OPT",16.7364120483398
"66",2,"Gathering",1,"nonlinear",0.018,"facebook-opt-2.7b-Surprisal-Context-P","facebook-opt-2.7b","OPT","2.7B",2700,"2.7B OPT",16.7364120483398
"67",3,"Hunting",0,"nonlinear",0.002,"facebook-opt-2.7b-Surprisal-Context-P","facebook-opt-2.7b","OPT","2.7B",2700,"2.7B OPT",16.7364120483398
"68",4,"Hunting",1,"nonlinear",0.027,"facebook-opt-2.7b-Surprisal-Context-P","facebook-opt-2.7b","OPT","2.7B",2700,"2.7B OPT",16.7364120483398
"69",1,"Gathering",0,"nonlinear",0.052,"facebook-opt-350m-Surprisal-Context-P","facebook-opt-350m","OPT","350M",350,"350M OPT",25.5409908294678
"70",2,"Gathering",1,"nonlinear",0.285,"facebook-opt-350m-Surprisal-Context-P","facebook-opt-350m","OPT","350M",350,"350M OPT",25.5409908294678
"71",3,"Hunting",0,"nonlinear",0.02,"facebook-opt-350m-Surprisal-Context-P","facebook-opt-350m","OPT","350M",350,"350M OPT",25.5409908294678
