,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,has_preview_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
18,19,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
19,20,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
20,21,4.07585284230783e-16,0.0713605448521601,True,Gathering,1,linear,True,4.07585284230783e-15,0.713605448521601
21,22,1.5487090119893e-16,0.148674171616767,True,Gathering,1,linear,True,1.5487090119893002e-15,1.0
22,23,3.2352112565015002e-21,0.30732439071397,True,Gathering,1,linear,True,3.2352112565015004e-20,1.0
23,24,1.1348262426976601e-17,7.64270533856202e-05,True,Gathering,1,linear,True,1.13482624269766e-16,0.000764270533856202
24,25,3.9182451046439904e-15,0.0149208955381893,True,Gathering,1,linear,True,3.9182451046439904e-14,0.149208955381893
25,26,9.9711766944008e-15,0.210688432981197,True,Gathering,1,linear,True,9.971176694400799e-14,1.0
26,27,4.0330027612810903e-20,0.0115470202681475,True,Gathering,1,linear,True,4.03300276128109e-19,0.11547020268147501
27,28,6.03990997565089e-11,0.008596123838018,True,Gathering,1,linear,True,6.039909975650889e-10,0.08596123838018
28,29,2.62465258965744e-17,0.0036691145358794,True,Gathering,1,linear,True,2.62465258965744e-16,0.036691145358794
29,30,1.45039427879609e-19,0.119632802515017,True,Gathering,1,linear,True,1.45039427879609e-18,1.0
30,31,0.0,0.0,True,Gathering,1,nonlinear,True,0.0,0.0
31,32,0.0,0.0145343468536576,True,Gathering,1,nonlinear,True,0.0,0.14534346853657598
32,33,0.0,0.03932337756137,True,Gathering,1,nonlinear,True,0.0,0.3932337756137
33,34,0.0,0.0039154758918169,True,Gathering,1,nonlinear,True,0.0,0.039154758918169
34,35,0.0,0.0051749328416045,True,Gathering,1,nonlinear,True,0.0,0.051749328416045
35,36,0.0,0.0239765389696485,True,Gathering,1,nonlinear,True,0.0,0.23976538969648498
36,37,0.0,0.0024028106769813,True,Gathering,1,nonlinear,True,0.0,0.024028106769813
37,38,0.0,0.0025234966396428,True,Gathering,1,nonlinear,True,0.0,0.025234966396428003
38,39,0.0,7.4153115008746e-05,True,Gathering,1,nonlinear,True,0.0,0.00074153115008746
39,40,0.0,0.0006849131932402,True,Gathering,1,nonlinear,True,0.0,0.006849131932402
40,41,5.1257083464991e-88,1.25332235949892e-32,True,Hunting,0,linear,True,5.125708346499099e-87,1.25332235949892e-31
41,42,2.1122656892756403e-98,1.19976055294168e-24,True,Hunting,0,linear,True,2.1122656892756402e-97,1.19976055294168e-23
42,43,3.79928315531177e-89,7.15208398984311e-27,True,Hunting,0,linear,True,3.79928315531177e-88,7.15208398984311e-26
43,44,4.36711796153049e-107,1.96132948219097e-27,True,Hunting,0,linear,True,4.367117961530489e-106,1.9613294821909698e-26
44,45,9.53776917539156e-111,6.536845927628e-31,True,Hunting,0,linear,True,9.53776917539156e-110,6.536845927627999e-30
45,46,1.66549791274332e-99,5.70203983970273e-26,True,Hunting,0,linear,True,1.66549791274332e-98,5.702039839702731e-25
46,47,4.51559951518843e-99,1.9387617444904e-26,True,Hunting,0,linear,True,4.51559951518843e-98,1.9387617444904e-25
47,48,3.85454067661395e-113,2.49411508569906e-22,True,Hunting,0,linear,True,3.8545406766139504e-112,2.49411508569906e-21
48,49,2.2113163501724497e-124,8.38696100591868e-28,True,Hunting,0,linear,True,2.2113163501724497e-123,8.386961005918679e-27
49,50,1.4173700379647901e-98,1.1456960701598799e-33,True,Hunting,0,linear,True,1.4173700379647902e-97,1.14569607015988e-32
50,51,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
51,52,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
52,53,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
53,54,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
54,55,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
55,56,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
56,57,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
57,58,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
58,59,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
59,60,0.0,0.0,True,Hunting,0,nonlinear,True,0.0,0.0
60,61,2.21592614774755e-07,0.387170436569617,True,Hunting,1,linear,True,2.21592614774755e-06,1.0
